"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
1096,"2022-2023","6002","Budget","External Debt","Bilateral","France Repayments",-599.3
1097,"2022-2023","6002","Budget","External Debt","Bilateral","Japan ",17070.65
1098,"2022-2023","6002","Budget","External Debt","Bilateral","Japan Receipts",24336.95
1099,"2022-2023","6002","Budget","External Debt","Bilateral","Japan Repayments",-7266.3
1100,"2022-2023","6002","Budget","External Debt","Bilateral","USA ",-92.5
1101,"2022-2023","6002","Budget","External Debt","Bilateral","USA Receipts",0.0
1102,"2022-2023","6002","Budget","External Debt","Bilateral","USA Repayments",-92.5
1103,"2022-2023","6002","Budget","External Debt","Bilateral","Russian Federation ",5572.86
1104,"2022-2023","6002","Budget","External Debt","Bilateral","Russian Federation Receipts",6051.76
1105,"2022-2023","6002","Budget","External Debt","Bilateral","Russian Federation Repayments",-478.9
1106,"2022-2023","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) ",1861.7
1107,"2022-2023","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) Receipts",2015.0
1108,"2022-2023","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) Repayments",-153.3
1109,"2022-2023","6002","Budget","External Debt","Expenditure netted against externally assistance for States Projects","European Investment Bank (EIB) ",-20380.58
1110,"2022-2023","9003","Budget","Draw Down of Cash Balance","Receipts","European Investment Bank (EIB) ",-169240.51
1111,"2022-2023","9003","Budget","Draw Down of Cash Balance","Disbursements","European Investment Bank (EIB) ",169992.25
1112,"2019-2020","7601","Actual","Recoveries of Loans & Advances","State Governments","Gross Receipts ",15550.89
1113,"2019-2020","7601","Actual","Recoveries of Loans & Advances","State Governments","Recoveries ",""
1114,"2019-2020","7602","Actual","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",72.0
1115,"2019-2020","7605","Actual","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",132.76
1116,"2019-2020","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",2891.53
1117,"2019-2020","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-331.03
1118,"2019-2020","4000","Actual","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",50304.33
1119,"2019-2020","4000","Actual","Miscellaneous Capital Receipts","Disinvestment of Government stake in Public Sector Banks and Financial Institutions","Recoveries ",""
1120,"2019-2020","4000","Actual","Miscellaneous Capital Receipts","Writeback of amounts with AMC","Recoveries ",""
1121,"2019-2020","4000","Actual","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",44.96
1122,"2019-2020","4000","Actual","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",-44.96
1123,"2019-2020","8000","Actual","Contingency Fund of India","Receipts","Recoveries ",""
1124,"2019-2020","8000","Actual","Contingency Fund of India","Netted against transfers","Recoveries ",""
1125,"2019-2020","6001","Actual","Borrowings","Market Loans","Gross Borrowings ",710000.0
1126,"2019-2020","6001","Actual","Borrowings","Market Loans","Repayments ",-236032.12
1127,"2019-2020","6001","Actual","Borrowings","Switching of Securities","Gross Borrowings ",164821.53
1128,"2019-2020","6001","Actual","Borrowings","Switching of Securities","Repayments ",-164803.3
1129,"2019-2020","6001","Actual","Borrowings","Buyback","Gross Borrowings ",""
1130,"2019-2020","6001","Actual","Borrowings","Buyback","Repayments ",""
1131,"2019-2020","6001","Actual","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Gross Borrowing ",""
1132,"2019-2020","6001","Actual","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Less Receipts netted ",""
1133,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",65443.0
1134,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-65443.0
1135,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",550.0
1136,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",-550.0
1137,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Issue of Securities ",4557.0
1138,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Less Receipts netted ",-4557.0
1139,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to IIFCL","Issue of Securities ",5297.6
1140,"2019-2020","6001","Actual","Borrowings","Issuance of Special Securities to IIFCL","Less Receipts netted ",-5297.6
1141,"2019-2020","6001","Actual","Borrowings","Post Office Life Insurance Fund (POLIF)","Receipts ",""
1142,"2019-2020","6001","Actual","Borrowings","Post Office Life Insurance Fund (POLIF)","Repayments ",""
1143,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","14 Days Treasury Bills Gross Borrowings",3355188.43
1144,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","14 Days Treasury Bills Repayments",-3322613.11
1145,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","91 Days Treasury Bills Gross Borrowings",639472.68
1146,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","91 Days Treasury Bills Repayment",-649072.75
1147,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","182 Days Treasury Bills Gross Borrowings",321689.3
1148,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","182 Days Treasury Bills Repayments",-283335.51
1149,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","364 Days Treasury Bills Gross Borrowings",217670.0
1150,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-208896.0
1151,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",300000.0
1152,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-220000.0
1153,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",1179582.0
1154,"2019-2020","6001","Actual","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-1179582.0
1155,"2019-2020","6001","Actual","Securities against Small Savings","Receipts","Ways & Means Advances ",262413.32
1156,"2019-2020","6001","Actual","Securities against Small Savings","Repayments","Ways & Means Advances ",-22413.31
1157,"2019-2020","8009","Actual","State Provident Funds","Receipts","Ways & Means Advances ",70832.27
1158,"2019-2020","8009","Actual","State Provident Funds","Disbursements","Ways & Means Advances ",-59196.94
1159,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
1160,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-0.7
1161,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",6631.68
1162,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-272.95
1163,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",3869.7
1164,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",-1.52
1165,"2019-2020","9002","Actual","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",2053818.07
1166,"2019-2020","9002","Actual","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-2014136.44
1167,"2019-2020","9002","Actual","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
1168,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",539.6
1169,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-5086.2
1170,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-1020.46
1171,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Receipts",408.33
1172,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Repayments",-349.1
1173,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Receipts",69.51
1174,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Repayments",-162.54
1175,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Receipts",3.02
1176,"2019-2020","6001","Actual","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Repayments",-36.76
1177,"2019-2020","6002","Actual","External Debt","Multilateral","International Bank for Reconstruction and Development Receipts",16095.27
1178,"2019-2020","6002","Actual","External Debt","Multilateral","International Bank for Reconstruction and Development Repayments",-6688.16
1179,"2019-2020","6002","Actual","External Debt","Multilateral","International Development Association Receipts",8039.3
1180,"2019-2020","6002","Actual","External Debt","Multilateral","International Development Association Repayments",-13803.45
1181,"2019-2020","6002","Actual","External Debt","Multilateral","International Fund for Agricultural Development Receipts",446.85
1182,"2019-2020","6002","Actual","External Debt","Multilateral","International Fund for Agricultural Development Repayments",-128.49
1183,"2019-2020","6002","Actual","External Debt","Multilateral","Asian Development Bank Receipts",12594.24
1184,"2019-2020","6002","Actual","External Debt","Multilateral","Asian Development Bank Repayments",-4895.34
1185,"2019-2020","6002","Actual","External Debt","Multilateral","Eastern European Community (SAC) Receipts",""
1186,"2019-2020","6002","Actual","External Debt","Multilateral","Eastern European Community (SAC) Repayments",-8.85
1187,"2019-2020","6002","Actual","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Receipts",""
1188,"2019-2020","6002","Actual","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Repayments",-15.87
1189,"2019-2020","6002","Actual","External Debt","Multilateral","New Development Bank Receipts",2191.92
1190,"2019-2020","6002","Actual","External Debt","Multilateral","New Development Bank Repayments",""
1191,"2019-2020","6002","Actual","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Receipts",848.04
1192,"2019-2020","6002","Actual","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Repayments",""
1193,"2019-2020","6002","Actual","External Debt","Bilateral","Germany Receipts",2164.76
1194,"2019-2020","6002","Actual","External Debt","Bilateral","Germany Repayments",-1163.76
1195,"2019-2020","6002","Actual","External Debt","Bilateral","France Receipts",1396.87
1196,"2019-2020","6002","Actual","External Debt","Bilateral","France Repayments",-292.44
1197,"2019-2020","6002","Actual","External Debt","Bilateral","Japan Receipts",15314.3
1198,"2019-2020","6002","Actual","External Debt","Bilateral","Japan Repayments",-5939.04
1199,"2019-2020","6002","Actual","External Debt","Bilateral","USA Receipts",274.82
1200,"2019-2020","6002","Actual","External Debt","Bilateral","USA Repayments",-173.77
1201,"2019-2020","6002","Actual","External Debt","Bilateral","Russian Federation Receipts",2623.93
1202,"2019-2020","6002","Actual","External Debt","Bilateral","Russian Federation Repayments",-781.74
1203,"2019-2020","6002","Actual","External Debt","Bilateral","European Investment Bank (EIB) Receipts",1190.0
1204,"2019-2020","6002","Actual","External Debt","Bilateral","European Investment Bank (EIB) Repayments",""
1205,"2019-2020","6002","Actual","External Debt","Bilateral","International Sugar Organisation ",""
1206,"2019-2020","6002","Actual","External Debt","Expenditure netted against externally assistance for States Projects","International Sugar Organisation ",-20607.07
1207,"2019-2020","9003","Actual","Draw Down of Cash Balance","Receipts","International Sugar Organisation ",2729.02
1208,"2019-2020","9003","Actual","Draw Down of Cash Balance","Disbursements","International Sugar Organisation ",2241.33
1209,"2020-2021","8000","Budget","Contingency Fund of India","Receipts","Recoveries ",""
1210,"2020-2021","8000","Budget","Contingency Fund of India","Netted against transfers","Recoveries ",""
1211,"2020-2021","6001","Budget","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Gross Borrowing ",""
1212,"2020-2021","6001","Budget","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Less Receipts netted ",""
1213,"2020-2021","6001","Budget","Securities against Small Savings","Receipts","Ways & Means Advances ",281294.13
1214,"2020-2021","6001","Budget","Securities against Small Savings","Repayments","Ways & Means Advances ",-41294.13
1215,"2020-2021","8009","Budget","State Provident Funds","Receipts","Ways & Means Advances ",77000.0
1216,"2020-2021","8009","Budget","State Provident Funds","Disbursements","Ways & Means Advances ",-59000.0
1217,"2020-2021","6002","Budget","External Debt","Bilateral","International Sugar Organisation ",""
1218,"2020-2021","6002","Budget","External Debt","Expenditure netted against externally assistance for States Projects","International Sugar Organisation ",-15547.35
1219,"2020-2021","9003","Budget","Draw Down of Cash Balance","Receipts","International Sugar Organisation ",2729.0
1220,"2020-2021","9003","Budget","Draw Down of Cash Balance","Disbursements","International Sugar Organisation ",-55731.81
1221,"2020-2021","7601","Revised","Recoveries of Loans & Advances","State Governments","Gross Receipts ",8957.13
1222,"2020-2021","7601","Revised","Recoveries of Loans & Advances","State Governments","Recoveries ",-100.0
1223,"2020-2021","7602","Revised","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",100.0
1224,"2020-2021","7605","Revised","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",283.7
1225,"2020-2021","9001","Revised","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",16656.17
1226,"2020-2021","9001","Revised","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-11400.0
1227,"2020-2021","4000","Revised","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",""
1228,"2020-2021","4000","Revised","Miscellaneous Capital Receipts","Disinvestment of Government stake in Public Sector Banks and Financial Institutions","Recoveries ",32000.0
1229,"2020-2021","4000","Revised","Miscellaneous Capital Receipts","Writeback of amounts with AMC","Recoveries ",""
1230,"2020-2021","4000","Revised","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",""
1231,"2020-2021","4000","Revised","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",""
1232,"2020-2021","8000","Revised","Contingency Fund of India","Receipts","Recoveries ",""
1233,"2020-2021","8000","Revised","Contingency Fund of India","Netted against transfers","Recoveries ",""
1234,"2020-2021","6001","Revised","Borrowings","Market Loans","Gross Borrowings ",1280000.0
1235,"2020-2021","6001","Revised","Borrowings","Market Loans","Repayments ",-227211.82
1236,"2020-2021","6001","Revised","Borrowings","Switching of Securities","Gross Borrowings ",160000.0
1237,"2020-2021","6001","Revised","Borrowings","Switching of Securities","Repayments ",-160000.0
1238,"2020-2021","6001","Revised","Borrowings","Buyback","Gross Borrowings ",""
1239,"2020-2021","6001","Revised","Borrowings","Buyback","Repayments ",""
1240,"2020-2021","6001","Revised","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Gross Borrowing ",110208.0
1241,"2020-2021","6001","Revised","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Less Receipts netted ",-110208.0
1242,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",20000.0
1243,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-20000.0
1244,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",""
1245,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",""
1246,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Issue of Securities ",""
1247,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Less Receipts netted ",""
1248,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to IIFCL","Issue of Securities ",""
1249,"2020-2021","6001","Revised","Borrowings","Issuance of Special Securities to IIFCL","Less Receipts netted ",""
1250,"2020-2021","6001","Revised","Borrowings","Post Office Life Insurance Fund (POLIF)","Receipts ",""
1251,"2020-2021","6001","Revised","Borrowings","Post Office Life Insurance Fund (POLIF)","Repayments ",-4000.0
1252,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","14 Days Treasury Bills Gross Borrowings",3690707.27
1253,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","14 Days Treasury Bills Repayments",-3690707.27
1254,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","91 Days Treasury Bills Gross Borrowings",735339.51
1255,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","91 Days Treasury Bills Repayment",-732774.81
1256,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","182 Days Treasury Bills Gross Borrowings",491660.98
1257,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","182 Days Treasury Bills Repayments",-507349.73
1258,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","364 Days Treasury Bills Gross Borrowings",455794.04
1259,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-217670.0
1260,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",250000.0
1261,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-250000.0
1262,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",598990.0
1263,"2020-2021","6001","Revised","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-598990.0
1264,"2020-2021","6001","Revised","Securities against Small Savings","Receipts","Ways & Means Advances ",526234.14
1265,"2020-2021","6001","Revised","Securities against Small Savings","Repayments","Ways & Means Advances ",-45660.25
1266,"2020-2021","8009","Revised","State Provident Funds","Receipts","Ways & Means Advances ",71000.0
1267,"2020-2021","8009","Revised","State Provident Funds","Disbursements","Ways & Means Advances ",-53000.0
1268,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
1269,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-51.99
1270,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",19438.0
1271,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-438.91
1272,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",20227.13
1273,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",-200.0
1274,"2020-2021","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",2270373.39
1275,"2020-2021","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-2258797.53
1276,"2020-2021","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
1277,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",7122.33
1278,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-10917.94
1279,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-7771.35
1280,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Receipts",500.0
1281,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Repayments",-328.37
1282,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Receipts",75.6
1283,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Repayments",-150.64
1284,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Receipts",73.42
1285,"2020-2021","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Repayments",-24.19
1286,"2020-2021","6002","Revised","External Debt","Multilateral","International Bank for Reconstruction and Development Receipts",27881.0
1287,"2020-2021","6002","Revised","External Debt","Multilateral","International Bank for Reconstruction and Development Repayments",-7013.47
1288,"2020-2021","6002","Revised","External Debt","Multilateral","International Development Association Receipts",13555.0
1289,"2020-2021","6002","Revised","External Debt","Multilateral","International Development Association Repayments",-12378.71
1290,"2020-2021","6002","Revised","External Debt","Multilateral","International Fund for Agricultural Development Receipts",523.0
1291,"2020-2021","6002","Revised","External Debt","Multilateral","International Fund for Agricultural Development Repayments",-166.79
1292,"2020-2021","6002","Revised","External Debt","Multilateral","Asian Development Bank Receipts",25229.0
1293,"2020-2021","6002","Revised","External Debt","Multilateral","Asian Development Bank Repayments",-6219.16
1294,"2020-2021","6002","Revised","External Debt","Multilateral","Eastern European Community (SAC) Receipts",""
1295,"2020-2021","6002","Revised","External Debt","Multilateral","Eastern European Community (SAC) Repayments",-9.18
1296,"2020-2021","6002","Revised","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Receipts",""
1297,"2020-2021","6002","Revised","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Repayments",-16.23
1298,"2020-2021","6002","Revised","External Debt","Multilateral","New Development Bank Receipts",10162.0
1299,"2020-2021","6002","Revised","External Debt","Multilateral","New Development Bank Repayments",""
1300,"2020-2021","6002","Revised","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Receipts",11422.0
1301,"2020-2021","6002","Revised","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Repayments",""
1302,"2020-2021","6002","Revised","External Debt","Bilateral","Germany Receipts",1369.0
1303,"2020-2021","6002","Revised","External Debt","Bilateral","Germany Repayments",-1390.8
1304,"2020-2021","6002","Revised","External Debt","Bilateral","France Receipts",2883.0
1305,"2020-2021","6002","Revised","External Debt","Bilateral","France Repayments",-394.55
1306,"2020-2021","6002","Revised","External Debt","Bilateral","Japan Receipts",22141.0
1307,"2020-2021","6002","Revised","External Debt","Bilateral","Japan Repayments",-6611.27
1308,"2020-2021","6002","Revised","External Debt","Bilateral","USA Receipts",""
1309,"2020-2021","6002","Revised","External Debt","Bilateral","USA Repayments",-165.66
1310,"2020-2021","6002","Revised","External Debt","Bilateral","Russian Federation Receipts",3084.0
1311,"2020-2021","6002","Revised","External Debt","Bilateral","Russian Federation Repayments",-868.18
1312,"2020-2021","6002","Revised","External Debt","Bilateral","European Investment Bank (EIB) Receipts",564.0
1313,"2020-2021","6002","Revised","External Debt","Bilateral","European Investment Bank (EIB) Repayments",""
1314,"2020-2021","6002","Revised","External Debt","Bilateral","International Sugar Organisation ",""
1315,"2020-2021","6002","Revised","External Debt","Expenditure netted against externally assistance for States Projects","International Sugar Organisation ",-29056.77
1316,"2020-2021","9003","Revised","Draw Down of Cash Balance","Receipts","International Sugar Organisation ",-2241.33
1317,"2020-2021","9003","Revised","Draw Down of Cash Balance","Disbursements","International Sugar Organisation ",-15116.81
1318,"2021-2022","4000","Budget","Miscellaneous Capital Receipts","Writeback of amounts with AMC","Recoveries ",""
1319,"2021-2022","4000","Budget","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",""
1320,"2021-2022","4000","Budget","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",""
1321,"2021-2022","8000","Budget","Contingency Fund of India","Receipts","Recoveries ",29500.0
1322,"2021-2022","8000","Budget","Contingency Fund of India","Netted against transfers","Recoveries ",-29500.0
1323,"2021-2022","6001","Budget","Borrowings","Buyback","Gross Borrowings ",""
1324,"2021-2022","6001","Budget","Borrowings","Buyback","Repayments ",""
1325,"2021-2022","6001","Budget","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Gross Borrowing ",""
1326,"2021-2022","6001","Budget","Borrowings","Borrowing for providing back to back loans to States and UTs for GST compensation cess shortfall","Less Receipts netted ",""
1327,"2021-2022","6001","Budget","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",""
1328,"2021-2022","6001","Budget","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",""
1329,"2021-2022","6001","Budget","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Issue of Securities ",""
1330,"2021-2022","6001","Budget","Borrowings","Issuance of Special Securities to IDBI Bank Ltd.","Less Receipts netted ",""
1331,"2021-2022","6001","Budget","Borrowings","Issuance of Special Securities to IIFCL","Issue of Securities ",0.01
1332,"2021-2022","6001","Budget","Borrowings","Issuance of Special Securities to IIFCL","Less Receipts netted ",-0.01
1333,"2021-2022","6001","Budget","Borrowings","Post Office Life Insurance Fund (POLIF)","Receipts ",""
1334,"2021-2022","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
1335,"2021-2022","6001","Budget","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",""
1336,"2021-2022","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",14500.0
1337,"2021-2022","6001","Budget","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",-1076.15
1338,"2021-2022","9002","Budget","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
1339,"2021-2022","6002","Budget","External Debt","Multilateral","Eastern European Community (SAC) Receipts",""
1340,"2021-2022","6002","Budget","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Receipts",""
1341,"2021-2022","6002","Budget","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Repayments",""
1342,"2021-2022","6002","Budget","External Debt","Bilateral","USA Receipts",""
1343,"2021-2022","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) Repayments",""
1344,"2021-2022","6002","Budget","External Debt","Bilateral","International Sugar Organisation ",-81.64
1345,"2021-2022","6002","Budget","External Debt","Expenditure netted against externally assistance for States Projects","International Sugar Organisation ",-43581.77
1346,"2021-2022","9003","Budget","Draw Down of Cash Balance","Receipts","International Sugar Organisation ",15116.81
1347,"2021-2022","9003","Budget","Draw Down of Cash Balance","Disbursements","International Sugar Organisation ",56266.05
1348,"2021-2022","7601","Actual","Recoveries of Loans & Advances","State Governments","Gross Receipts ",17491.18
1349,"2021-2022","7601","Actual","Recoveries of Loans & Advances","State Governments","Recoveries ",""
1350,"2021-2022","7602","Actual","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",77.49
1351,"2021-2022","7605","Actual","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",437.82
1352,"2021-2022","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",6941.61
1353,"2021-2022","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-211.51
1354,"2021-2022","4000","Actual","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",13627.22
1355,"2021-2022","6001","Actual","Borrowings","Market Loans","Gross Borrowings ",968381.54
1356,"2021-2022","6001","Actual","Borrowings","Market Loans","Repayments ",-264284.41
1357,"2021-2022","6001","Actual","Borrowings","Switching of Securities","Gross Borrowings ",196894.08
1358,"2021-2022","6001","Actual","Borrowings","Switching of Securities","Repayments ",-168461.69
