"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
157,"2018-2019","6002","Budget","External Debt","Multilateral","New Development Bank Receipts",200.0
158,"2018-2019","6002","Budget","External Debt","Multilateral","New Development Bank Repayments",""
159,"2018-2019","6002","Budget","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Receipts",50.0
160,"2018-2019","6002","Budget","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Repayments",""
161,"2018-2019","6002","Budget","External Debt","Bilateral","Germany Receipts",2317.01
162,"2018-2019","6002","Budget","External Debt","Bilateral","Germany Repayments",-1154.79
163,"2018-2019","6002","Budget","External Debt","Bilateral","France Receipts",751.75
164,"2018-2019","6002","Budget","External Debt","Bilateral","France Repayments",-213.71
165,"2018-2019","6002","Budget","External Debt","Bilateral","Japan Receipts",10776.38
166,"2018-2019","6002","Budget","External Debt","Bilateral","Japan Repayments",-4766.47
167,"2018-2019","6002","Budget","External Debt","Bilateral","Switzerland Receipts",""
168,"2018-2019","6002","Budget","External Debt","Bilateral","Switzerland Repayments",-0.16
169,"2018-2019","6002","Budget","External Debt","Bilateral","USA Receipts",""
170,"2018-2019","6002","Budget","External Debt","Bilateral","USA Repayments",-167.21
171,"2018-2019","6002","Budget","External Debt","Bilateral","Russian Federation Receipts",2807.0
172,"2018-2019","6002","Budget","External Debt","Bilateral","Russian Federation Repayments",-747.93
173,"2018-2019","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) Receipts",300.0
174,"2018-2019","6002","Budget","External Debt","Bilateral","European Investment Bank (EIB) Repayments",""
175,"2018-2019","6002","Budget","External Debt","Expenditure netted against externally assistance for States Projects","European Investment Bank (EIB) ",-14016.0
176,"2018-2019","9003","Budget","Draw Down of Cash Balance","Receipts","European Investment Bank (EIB) ",44877.61
177,"2018-2019","9003","Budget","Draw Down of Cash Balance","Disbursements","European Investment Bank (EIB) ",-1811.61
178,"2018-2019","6001","Budget","Market Stabilisation Scheme","Receipts","European Investment Bank (EIB) ",""
